日,"nichi, jitsuニチ, ジツ","hi, -bi, -kaひ, -び, -か","day, sun, Japan, counter for days"
一,ichiイチ,hito(tsu)ひと(つ),one
国,kokuコク,kuniくに,country
会,kaiカイ,a(u)あ(う),meeting; meet
人,"jin, ninジン、 ニン",hitoひと,person
年,nenネン,toshiとし,"year, counter for years"
大,"dai, taiダイ、 タイ",oo(kii)おお(きい),"large, big"
十,juuジュウ,"tou, toとお、 と","ten, 10"
二,"ni, jiニ、 ジ","futa(tsu), futatabiふた(つ)、 ふたたび","two, 2"
本,honホン,motoもと,"book, present, true, counter for long cylindrical things"
中,chuuチュウ,"naka, uchi, ata(ru)なか、 うち、 あた(る)","in, inside, middle, mean, center"
長,chouチョウ,"naga(i), osaなが(い)、 おさ","long, leader, superior, senior"
出,"shutsu, suiシュツ、 スイ","de(ru), da(su), i(deru)で(る)、 だ(す)、 い(でる)","exit, leave, go out"
三,sanサン,mi(tsu)み(つ),"three, 3"
同,douドウ,onajiおな(じ),"same, agree, equal"
時,jiジ,"toki, dokiとき、 -どき","time, hour"
政,seiセイ,matsurigotoまつりごと,"politics, government"
事,jiジ,kotoこと,"matter, thing, fact, business, reason, possibly"
自,"ji, shiジ、 シ",mizuka(ra)みずか(ら),oneself
行,"kou, gyou, anコウ、 ギョウ、 アン","i(ku), yu(ku), okona(u)い(く)、 ゆ(く)、 おこな(う)","going, journey, carry out, line, row"
社,shaシャ,yashiroやしろ,"company, firm, office, association, shrine"
見,kenケン,"mi(ru), mi(seru)み(る)、 み(せる)","see, hopes, chances, idea, opinion, look at, visible"
月,"getsu, gatsuゲツ、 ガツ",tsukiつき,"month, moon"
分,"bun, fun, buブン、 フン、 ブ",wa(keru)わ(ける),"part, minute of time, understand"
議,giギ,,"deliberation, consultation, debate"
後,"go, kouゴ、 コウ","nochi, ushi(ro), atoのち、 うし(ろ)、 あと","behind, back, later"
前,zenゼン,maeまえ,"in front, before"
民,minミン,tamiたみ,"people, nation, subjects"
生,"sei, shouセイ、 ショウ","i(kiru), u(mu), o(u), ha(eru), namaい(きる)、 う(む)、 お(う)、 は(える)、 なま","life, genuine, birth"
連,renレン,"tsura(naru), tsu(reru)つら(なる)、 つ(れる)","take along, lead, join, connect"
五,goゴ,itsu(tsu)いつ(つ),"five, 5"
発,"hatsu, hotsuハツ、 ホツ",,"departure, discharge, emit, start from"
間,"kan, kenカン、 ケン","aida, ma, aiあいだ、 ま、 あい","interval, space"
対,"tai, tsuiタイ、 ツイ",,"opposite, even, equal, versus, anti-, compare"
上,"jou, shou, shanジョウ、 ショウ、 シャン","ue, uwa, kami, a(geru), nobo(ru), tatematsu(ru)うえ、 うわ-、 かみ、 あ(げる)、 のぼ(る)、 たてまつ(る)","above, up"
部,buブ,,"section, bureau, dept, class, copy, part, portion"
東,touトウ,higashiひがし,east
者,shaシャ,monoもの,"someone, person"
党,touトウ,,"party, faction, clique"
地,"chi, jiチ、 ジ",,"ground, earth"
合,"gou, ga, kaゴウ、 ガッ、 カッ",a(u)あ(う)、あい,"fit, suit, join, 0.1"
市,shiシ,ichiいち,"market, city, town"
業,gyouギョウ,wazaわざ,"business, vocation, arts, performance"
内,naiナイ,uchiうち,"inside, within, between, among, house, home"
相,"sou, shouソウ、 ショウ",aiあい,"inter-, mutual, together, each other, minister of state"
方,houホウ,kataかた,"direction, person, alternative"
四,shiシ,"yo(tsu), yonよ(つ)、 よん","four, 4"
定,"tei, jouテイ、 ジョウ",sada(meru)さだ(める),"determine, fix, establish, decide"
今,"kon, kinコン、 キン",imaいま,now; the present
回,kaiカイ,mawa(su)まわ(す),"-times, round, revolve, counter"
新,shinシン,"atara(shii), ara(ta)あたら(しい)、 あら(た)",new
場,jouジョウ,baば,"location, place"
金,"kin, kon, gonキン、 コン、 ゴン","kane, kana, ganeかね、 かな-、 -がね",gold
員,inイン,,"employee, member, number, the one in charge"
九,"kyuu, kuキュウ、 ク",kokono(tsu)ここの(つ),"nine, 9"
入,nyuuニュウ,"i(ru), hai(ru)い(る)、はい(る)","enter, insert"
選,senセン,era(bu)えら(ぶ),"elect, select, choose, prefer"
立,ritsuリツ,ta(tsu)た(つ),"stand up, rise"
開,kaiカイ,"hira(ku), a(keru)ひら(く)、 あ(ける)","open, unfold, unseal"
手,shuシュ,teて,hand
米,"bei, mai, meetoruベイ、 マイ、 メエトル",komeこめ,"rice, USA, meter"
力,"ryoku, rikiリョク、 リキ",chikaraちから,"power, strength, strong, strain, bear up, exert"
学,gakuガク,mana(bu)まな(ぶ),"study, learning, science"
問,monモン,to(u)と(う),"question, ask, problem"
高,kouコウ,taka(i)たか(い),"tall, high, expensive"
代,daiダイ,ka(wari)か(わり),"substitute, change, convert, replace, period"
明,"mei, myouメイ、 ミョウ",aka(rui)あか(るい),"bright, light"
実,jitsuジツ,"mi, mino(ru), michi(ru), makotoみ、 みの(る)、 みち(る)、 まこと","reality, truth"
円,enエン,maru(i)まる(い),"circle, yen, round"
関,kanカン,"seki, kaka(waru), karakuriせき、 かか(わる)、 からくり","connection, barrier, gateway, involve, concerning"
決,ketsuケツ,ki(meru)き(める),"decide, fix, agree upon, appoint"
子,"shi, su, tsuシ、 ス、 ツ","ko, neこ、 ね",child
動,douドウ,ugo(ku)うご(く),"move, motion, change"
京,"kyou, kei, kinキョウ、 ケイ、 キン",miyakoみやこ,capital
全,zenゼン,"matta(ku), sube(te)まった(く)、 すべ(て)","whole, entire, all, complete, fulfill"
目,"moku, bokuモク、 ボク",meめ,"eye, class, look, insight, experience"
表,hyouヒョウ,"omote, arawa(su)おもて、 あらわ(す)","surface, table, chart, diagram"
戦,senセン,"ikusa, tataka(u)いくさ、 たたか(う)","war, battle, match"
経,keiケイ,"he(ru), ta(tsu)へ(る)、 た(つ)","longitude, pass thru, expire, warp"
通,tsuuツウ,"too(ru), kayo(u)とお(る)、かよ(う)","traffic, pass through, avenue, commute"
外,"gai, geガイ、 ゲ","soto, hoka, hazu-, to-そと、 ほか、 はず(す)、 と-",outside
最,saiサイ,motto(mo)もっと(も),"utmost, most, extreme"
言,"gen, gonゲン、 ゴン","i(u), kotoい（う）、 こと","say, word"
氏,shiシ,ujiうじ,"family name, surname, clan"
現,genゲン,"arawa(reru), utsu(tsu)あらわ(れる)、 うつ(つ)","present, existing, actual"
理,riリ,,"logic, arrangement, reason, justice, truth"
調,chouチョウ,"shira(beru), tono(u)しら(べる)、ととの(う)","tune, tone, meter, prepare, investigate"
体,taiタイ,karadaからだ,"body, substance, object, reality"
化,"ka, keカ、 ケ","ba(keru), fu(keru)ば(ける)、 ふ(ける)","change, take the form of, influence, enchant, delude, -ization"
田,denデン,taた,"rice field, rice paddy"
当,touトウ,a(taru)あ(たる),"hit, right, appropriate"
八,hachiハチ,"ya(tsu), youや(つ)、 よう","eight, 8"
六,rokuロク,"mu(tsu), muiむ(つ)、 むい","six, 6"
約,yakuヤク,tsuzu(maru)つづ(まる),"promise, approximately, shrink"
主,shuシュ,"nushi, omoぬし、 おも","lord, chief, master, main thing, principal"
題,daiダイ,,"topic, subject"
下,"ka, geカ、 ゲ","shita, shimo, moto, sa(geru), kuda(ru), o(rosu)した、 しも、 もと、 さ(げる)、 くだ(る)、 お(ろす)","below, down, descend, give, low, inferior"
首,shuシュ,kubiくび,neck
意,iイ,,"idea, mind, heart, taste, thought"
法,houホウ,noriのり,"method, law, rule, principle, model, system"
